Name,Symbol,ISIN,WKN,Exchange
BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF - Acc h EUR,ASRD,LU1547515137,A2QMK4,XETR
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF - Acc,ASRE,LU2244387457,A2QMK2,XETR
BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF,LCEU,LU1377382368,A2DPX9,XETR
BNP Paribas Easy MSCI Emerging Markets ex CW UCITS ETF EUR - C,EMKX,LU1291097779,A2AL1R,XETR
BNP Paribas Easy MSCI Emerging SRI S-Series 5% Capped UCITS ETF - EUR,XU6C,LU1659681313,A2H5E6,XETR
BNP Paribas Easy MSCI Emerging SRI S-Series 5% Capped UCITS ETF - USD,ESRI,LU1291098314,A2APND,XETR
BNP Paribas Easy MSCI EMU ESG Filtered Min TE UCITS ETF,EMUX,LU1291098827,A2AL1W,XETR
BNP Paribas Easy MSCI EMU SRI S-Series 5% Capped UCITS ETF,EMUS,LU1953137681,A2PP8D,XETR
BNP Paribas Easy MSCI Europe ex CW UCITS ETF,EEUX,LU1291099718,A2AL1V,XETR
BNP Paribas Easy MSCI Europe ex UK ex CW UCITS ETF - C,EEXU,LU1291100664,A2ADBR,XETR
BNP Paribas Easy MSCI Europe Small Caps SRI S-Series 5% Capped,EESM,LU1291101555,A2AL1T,XETR
BNP Paribas Easy MSCI Europe SRI S-Series 5% Capped UCITS ETF,ZSRI,LU1753045415,A2JFSU,XETR
BNP Paribas Easy MSCI Japan ex CW UCITS ETF - C,EJAP,LU1291102447,A2ADB6,XETR
BNP Paribas Easy MSCI Japan ex CW UCITS ETF EUR Hedged - C,EJAH,LU1481203070,A2DJG1,XETR
BNP Paribas Easy MSCI Japan SRI S-Series 5% Capped UCITS ETF,JSRI,LU1753045928,A2JFSV,XETR
BNP Paribas Easy MSCI North America ex CW UCITS ETF - C,ENOA,LU1291104575,A2ADB1,XETR
BNP Paribas Easy MSCI Pacific ex Japan ex CW UCITS ETF - C,PAC,LU1291106356,A2ADBW,XETR
